fecha,vacuna_fabricante,dosis,departamento,cantidad
2021-07-17,pfizer,2da_dosis,cochabamba,16869.0
2021-07-17,pfizer,2da_dosis,la paz,27237.0
2021-07-17,pfizer,2da_dosis,oruro,8271.0
2021-07-17,pfizer,2da_dosis,pando,0.0
2021-07-17,pfizer,2da_dosis,potosi,0.0
2021-07-17,pfizer,2da_dosis,santa cruz,25128.0
2021-07-17,pfizer,2da_dosis,tarija,5675.0
2021-07-17,sinopharm,1ra_dosis,beni,33870.0
2021-07-17,sinopharm,1ra_dosis,chuquisaca,84233.0
2021-07-17,sinopharm,1ra_dosis,cochabamba,244146.0
2021-07-17,sinopharm,1ra_dosis,la paz,323272.0
2021-07-17,sinopharm,1ra_dosis,oruro,71226.0
2021-07-17,sinopharm,1ra_dosis,pando,13889.0
2021-07-17,sinopharm,1ra_dosis,potosi,71514.0
2021-07-17,sinopharm,1ra_dosis,santa cruz,412035.0
2021-07-17,sinopharm,1ra_dosis,tarija,124130.0
2021-07-17,sinopharm,2da_dosis,beni,25952.0
2021-07-17,sinopharm,2da_dosis,chuquisaca,41860.0
2021-07-17,sinopharm,2da_dosis,cochabamba,141051.0
2021-07-17,sinopharm,2da_dosis,la paz,174720.0
2021-07-17,sinopharm,2da_dosis,oruro,35521.0
2021-07-17,sinopharm,2da_dosis,pando,9055.0
2021-07-17,sinopharm,2da_dosis,potosi,38192.0
2021-07-17,sinopharm,2da_dosis,santa cruz,208120.0
2021-07-17,sinopharm,2da_dosis,tarija,50725.0
2021-07-17,sputnik-v,1ra_dosis,beni,19553.0
2021-07-17,sputnik-v,1ra_dosis,chuquisaca,54296.0
2021-07-17,sputnik-v,1ra_dosis,cochabamba,171832.0
2021-07-17,sputnik-v,1ra_dosis,la paz,208888.0
2021-07-17,sputnik-v,1ra_dosis,oruro,42542.0
2021-07-17,sputnik-v,1ra_dosis,pando,7885.0
2021-07-17,sputnik-v,1ra_dosis,potosi,43746.0
2021-07-17,sputnik-v,1ra_dosis,santa cruz,296616.0
2021-07-17,sputnik-v,1ra_dosis,tarija,37894.0
2021-07-17,sputnik-v,2da_dosis,beni,635.0
2021-07-17,sputnik-v,2da_dosis,chuquisaca,2158.0
2021-07-17,sputnik-v,2da_dosis,cochabamba,1667.0
2021-07-17,sputnik-v,2da_dosis,la paz,2081.0
2021-07-17,sputnik-v,2da_dosis,oruro,1627.0
2021-07-17,sputnik-v,2da_dosis,pando,544.0
2021-07-17,sputnik-v,2da_dosis,potosi,822.0
2021-07-17,sputnik-v,2da_dosis,santa cruz,2618.0
2021-07-17,sputnik-v,2da_dosis,tarija,851.0
2021-07-18,astrazeneca,1ra_dosis,beni,48338.0
2021-07-18,astrazeneca,1ra_dosis,chuquisaca,8017.0
2021-07-18,astrazeneca,1ra_dosis,cochabamba,31836.0
2021-07-18,astrazeneca,1ra_dosis,la paz,45127.0
2021-07-18,astrazeneca,1ra_dosis,oruro,8043.0
2021-07-18,astrazeneca,1ra_dosis,pando,19101.0
2021-07-18,astrazeneca,1ra_dosis,potosi,10161.0
2021-07-18,astrazeneca,1ra_dosis,santa cruz,38702.0
2021-07-18,astrazeneca,1ra_dosis,tarija,6846.0
2021-07-18,astrazeneca,2da_dosis,beni,7762.0
2021-07-18,astrazeneca,2da_dosis,chuquisaca,4322.0
2021-07-18,astrazeneca,2da_dosis,cochabamba,19347.0
2021-07-18,astrazeneca,2da_dosis,la paz,15700.0
2021-07-18,astrazeneca,2da_dosis,oruro,6165.0
2021-07-18,astrazeneca,2da_dosis,pando,6359.0
2021-07-18,astrazeneca,2da_dosis,potosi,2393.0
2021-07-18,astrazeneca,2da_dosis,santa cruz,10924.0
2021-07-18,astrazeneca,2da_dosis,tarija,3246.0
2021-07-18,janssen,dosis_unica,beni,0.0
2021-07-18,janssen,dosis_unica,chuquisaca,0.0
2021-07-18,janssen,dosis_unica,cochabamba,0.0
2021-07-18,janssen,dosis_unica,la paz,656.0
2021-07-18,janssen,dosis_unica,oruro,0.0
2021-07-18,janssen,dosis_unica,pando,0.0
2021-07-18,janssen,dosis_unica,potosi,0.0
2021-07-18,janssen,dosis_unica,santa cruz,17255.0
2021-07-18,janssen,dosis_unica,tarija,0.0
2021-07-18,pfizer,1ra_dosis,beni,0.0
2021-07-18,pfizer,1ra_dosis,chuquisaca,8379.0
2021-07-18,pfizer,1ra_dosis,cochabamba,17593.0
2021-07-18,pfizer,1ra_dosis,la paz,29517.0
2021-07-18,pfizer,1ra_dosis,oruro,8771.0
2021-07-18,pfizer,1ra_dosis,pando,0.0
2021-07-18,pfizer,1ra_dosis,potosi,0.0
2021-07-18,pfizer,1ra_dosis,santa cruz,26518.0
2021-07-18,pfizer,1ra_dosis,tarija,5890.0
2021-07-18,pfizer,2da_dosis,beni,0.0
2021-07-18,pfizer,2da_dosis,chuquisaca,7828.0
2021-07-18,pfizer,2da_dosis,cochabamba,16869.0
2021-07-18,pfizer,2da_dosis,la paz,27237.0
2021-07-18,pfizer,2da_dosis,oruro,8271.0
2021-07-18,pfizer,2da_dosis,pando,0.0
2021-07-18,pfizer,2da_dosis,potosi,0.0
2021-07-18,pfizer,2da_dosis,santa cruz,25128.0
2021-07-18,pfizer,2da_dosis,tarija,5675.0
2021-07-18,sinopharm,1ra_dosis,beni,33908.0
2021-07-18,sinopharm,1ra_dosis,chuquisaca,84681.0
2021-07-18,sinopharm,1ra_dosis,cochabamba,244742.0
